index,baseline_scores
248,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 3.0, 'Overall_Average': 2.6, 'ROUGE-1': 0.19631901840490798, 'ROUGE-2': 0.02484472049689441, 'ROUGE-L': 0.15950920245398773, 'BLEU': 0.010543490939129456}"
249,"{'Descriptiveness': 3.0, 'Coherence': 3.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 4.2, 'ROUGE-1': 0.379746835443038, 'ROUGE-2': 0.11914893617021276, 'ROUGE-L': 0.2616033755274262, 'BLEU': 0.03532974420844551}"
250,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 1.0, 'Conciseness': 1.0, 'Overall_Average': 1.0, 'ROUGE-1': 0.2680412371134021, 'ROUGE-2': 0.14736842105263157, 'ROUGE-L': 0.20618556701030927, 'BLEU': 0.030787989546755597}"
251,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.1893491124260355, 'ROUGE-2': 0.011976047904191616, 'ROUGE-L': 0.16568047337278108, 'BLEU': 0.004580234385523797}"
252,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 2.0, 'Fluency': 3.0, 'Conciseness': 4.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.21794871794871795, 'ROUGE-2': 0.06493506493506493, 'ROUGE-L': 0.15384615384615385, 'BLEU': 0.020635441362481747}"
253,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 2.0, 'Overall_Average': 2.4, 'ROUGE-1': 0.21524663677130046, 'ROUGE-2': 0.045248868778280535, 'ROUGE-L': 0.18834080717488788, 'BLEU': 0.018467018656276313}"
254,"{'Descriptiveness': 3.0, 'Coherence': 5.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.8, 'ROUGE-1': 0.34210526315789475, 'ROUGE-2': 0.05405405405405406, 'ROUGE-L': 0.21052631578947367, 'BLEU': 0.03799717575666532}"
255,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 2.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.23711340206185566, 'ROUGE-2': 0.041666666666666664, 'ROUGE-L': 0.17525773195876287, 'BLEU': 0.0074382270660949355}"
256,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 5.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.31932773109243695, 'ROUGE-2': 0.11965811965811966, 'ROUGE-L': 0.2184873949579832, 'BLEU': 0.030958128191552137}"
257,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 5.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.16049382716049385, 'ROUGE-2': 0.05, 'ROUGE-L': 0.1234567901234568, 'BLEU': 0.008973988998954756}"
258,"{'Descriptiveness': 1.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.22818791946308725, 'ROUGE-2': 0.06802721088435375, 'ROUGE-L': 0.174496644295302, 'BLEU': 0.018900786653557378}"
259,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 2.0, 'Overall_Average': 2.6, 'ROUGE-1': 0.2619047619047619, 'ROUGE-2': 0.08433734939759037, 'ROUGE-L': 0.2142857142857143, 'BLEU': 0.0187367692065937}"
260,"{'Descriptiveness': 2.0, 'Coherence': 1.0, 'Completeness': 2.0, 'Fluency': 1.0, 'Conciseness': 1.0, 'Overall_Average': 1.4, 'ROUGE-1': 0.16260162601626016, 'ROUGE-2': 0.01652892561983471, 'ROUGE-L': 0.13008130081300812, 'BLEU': 0.013816105411636468}"
261,"{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.04878048780487805, 'ROUGE-2': 0.0, 'ROUGE-L': 0.04878048780487805, 'BLEU': 0.007960962147941782}"
262,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 2.0, 'Fluency': 1.0, 'Conciseness': 1.0, 'Overall_Average': 1.2, 'ROUGE-1': 0.06211180124223603, 'ROUGE-2': 0.0, 'ROUGE-L': 0.06211180124223603, 'BLEU': 0.004763507341099084}"
263,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.22340425531914895, 'ROUGE-2': 0.03225806451612903, 'ROUGE-L': 0.1595744680851064, 'BLEU': 0.010387380938713707}"
264,"{'Descriptiveness': 3.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 4.4, 'ROUGE-1': 0.2857142857142857, 'ROUGE-2': 0.1, 'ROUGE-L': 0.2857142857142857, 'BLEU': 0.03277266271046228}"
265,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 1.0, 'Conciseness': 5.0, 'Overall_Average': 1.8, 'ROUGE-1': 0.19178082191780824, 'ROUGE-2': 0.03686635944700461, 'ROUGE-L': 0.15525114155251143, 'BLEU': 0.009506361407255482}"
266,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 2.0, 'Fluency': 3.0, 'Conciseness': 3.0, 'Overall_Average': 2.4, 'ROUGE-1': 0.24299065420560745, 'ROUGE-2': 0.05660377358490567, 'ROUGE-L': 0.1588785046728972, 'BLEU': 0.00977468539255343}"
267,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 1.0, 'Conciseness': 1.0, 'Overall_Average': 1.0, 'ROUGE-1': 0.3043478260869565, 'ROUGE-2': 0.14705882352941177, 'ROUGE-L': 0.2608695652173913, 'BLEU': 0.03320643896143189}"
268,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 2.0, 'Fluency': 3.0, 'Conciseness': 2.0, 'Overall_Average': 2.2, 'ROUGE-1': 0.29310344827586204, 'ROUGE-2': 0.07017543859649122, 'ROUGE-L': 0.24137931034482757, 'BLEU': 0.017524139424450535}"
269,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.21153846153846154, 'ROUGE-2': 0.029126213592233007, 'ROUGE-L': 0.14423076923076922, 'BLEU': 0.008524125334843133}"
270,"{'Descriptiveness': 2.0, 'Coherence': 4.0, 'Completeness': 3.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.27631578947368424, 'ROUGE-2': 0.04, 'ROUGE-L': 0.19736842105263158, 'BLEU': 0.014845927365906904}"
271,"{'Descriptiveness': 2.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 2.6, 'ROUGE-1': 0.18079096045197737, 'ROUGE-2': 0.09142857142857143, 'ROUGE-L': 0.18079096045197737, 'BLEU': 0.02629161215521893}"
272,"{'Descriptiveness': 2.0, 'Coherence': 1.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 2.0, 'Overall_Average': 2.4, 'ROUGE-1': 0.0970873786407767, 'ROUGE-2': 0.0196078431372549, 'ROUGE-L': 0.07766990291262135, 'BLEU': 0.0034301305997050746}"
273,"{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.27956989247311825, 'ROUGE-2': 0.04395604395604396, 'ROUGE-L': 0.23655913978494622, 'BLEU': 0.016753530423799692}"
274,"{'Descriptiveness': 2.0, 'Coherence': 1.0, 'Completeness': 2.0, 'Fluency': 3.0, 'Conciseness': 3.0, 'Overall_Average': 2.2, 'ROUGE-1': 0.13756613756613756, 'ROUGE-2': 0.021390374331550804, 'ROUGE-L': 0.11640211640211638, 'BLEU': 0.011443641678808274}"
275,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.265625, 'ROUGE-2': 0.06349206349206349, 'ROUGE-L': 0.1875, 'BLEU': 0.030530168480664904}"
276,"{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.20454545454545453, 'ROUGE-2': 0.06976744186046513, 'ROUGE-L': 0.20454545454545453, 'BLEU': 0.019271800354886962}"
277,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.3007518796992481, 'ROUGE-2': 0.015267175572519083, 'ROUGE-L': 0.1954887218045113, 'BLEU': 0.014542966388255323}"
278,"{'Descriptiveness': 2.0, 'Coherence': 4.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 4.0, 'ROUGE-1': 0.23076923076923075, 'ROUGE-2': 0.0392156862745098, 'ROUGE-L': 0.15384615384615385, 'BLEU': 0.007818466355831465}"
279,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 1.0, 'Conciseness': 2.0, 'Overall_Average': 2.0, 'ROUGE-1': 0.21686746987951808, 'ROUGE-2': 0.08536585365853659, 'ROUGE-L': 0.1686746987951807, 'BLEU': 0.014628240355081467}"
280,"{'Descriptiveness': 1.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.07486631016042782, 'ROUGE-2': 0.02162162162162162, 'ROUGE-L': 0.07486631016042782, 'BLEU': 0.005154898397537283}"
281,"{'Descriptiveness': 3.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.15217391304347827, 'ROUGE-2': 0.044444444444444446, 'ROUGE-L': 0.13043478260869565, 'BLEU': 0.01319625656673598}"
282,"{'Descriptiveness': 1.0, 'Coherence': 2.0, 'Completeness': 2.0, 'Fluency': 2.0, 'Conciseness': 1.0, 'Overall_Average': 1.6, 'ROUGE-1': 0.1142857142857143, 'ROUGE-2': 0.011560693641618497, 'ROUGE-L': 0.1142857142857143, 'BLEU': 0.007251462166860264}"
283,"{'Descriptiveness': 1.0, 'Coherence': 2.0, 'Completeness': 2.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.1827956989247312, 'ROUGE-2': 0.05434782608695652, 'ROUGE-L': 0.12903225806451613, 'BLEU': 0.010400929130352341}"
284,"{'Descriptiveness': 2.0, 'Coherence': 5.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.23376623376623376, 'ROUGE-2': 0.05333333333333334, 'ROUGE-L': 0.23376623376623376, 'BLEU': 0.01592626140465294}"
285,"{'Descriptiveness': 2.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.8, 'ROUGE-1': 0.2698412698412698, 'ROUGE-2': 0.0967741935483871, 'ROUGE-L': 0.20634920634920637, 'BLEU': 0.030721972637153906}"
286,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 2.6, 'ROUGE-1': 0.2790697674418604, 'ROUGE-2': 0.07142857142857144, 'ROUGE-L': 0.20930232558139533, 'BLEU': 0.02139786101917304}"
287,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 2.0, 'Fluency': 2.0, 'Conciseness': 4.0, 'Overall_Average': 2.0, 'ROUGE-1': 0.30188679245283023, 'ROUGE-2': 0.03921568627450981, 'ROUGE-L': 0.2264150943396226, 'BLEU': 0.0151257050793906}"
288,"{'Descriptiveness': 3.0, 'Coherence': 5.0, 'Completeness': 3.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.0, 'ROUGE-1': 0.41025641025641024, 'ROUGE-2': 0.10810810810810811, 'ROUGE-L': 0.3076923076923077, 'BLEU': 0.03730104974484288}"
289,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 2.0, 'Fluency': 3.0, 'Conciseness': 4.0, 'Overall_Average': 2.2, 'ROUGE-1': 0.22413793103448276, 'ROUGE-2': 0.10526315789473685, 'ROUGE-L': 0.1724137931034483, 'BLEU': 0.0371284317461512}"
290,"{'Descriptiveness': 1.0, 'Coherence': 5.0, 'Completeness': 2.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.1951219512195122, 'ROUGE-2': 0.0, 'ROUGE-L': 0.1951219512195122, 'BLEU': 0.014769460698743886}"
291,"{'Descriptiveness': 3.0, 'Coherence': 2.0, 'Completeness': 2.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.20338983050847456, 'ROUGE-2': 0.09142857142857143, 'ROUGE-L': 0.14689265536723162, 'BLEU': 0.01247945874125354}"
292,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 2.0, 'Fluency': 2.0, 'Conciseness': 2.0, 'Overall_Average': 2.0, 'ROUGE-1': 0.17346938775510207, 'ROUGE-2': 0.020618556701030927, 'ROUGE-L': 0.13265306122448978, 'BLEU': 0.01085919981238373}"
293,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 2.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.24657534246575344, 'ROUGE-2': 0.056338028169014086, 'ROUGE-L': 0.1917808219178082, 'BLEU': 0.024300923774385717}"
294,"{'Descriptiveness': 3.0, 'Coherence': 2.0, 'Completeness': 4.0, 'Fluency': 3.0, 'Conciseness': 3.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.1515151515151515, 'ROUGE-2': 0.0510204081632653, 'ROUGE-L': 0.1414141414141414, 'BLEU': 0.0065839914787633545}"
295,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 2.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.14545454545454548, 'ROUGE-2': 0.027522935779816512, 'ROUGE-L': 0.09999999999999999, 'BLEU': 0.0068401920608913026}"
296,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 2.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.13526570048309178, 'ROUGE-2': 0.029268292682926828, 'ROUGE-L': 0.0966183574879227, 'BLEU': 0.007916057719652602}"
297,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 3.0, 'Conciseness': 5.0, 'Overall_Average': 2.2, 'ROUGE-1': 0.23423423423423423, 'ROUGE-2': 0.07339449541284404, 'ROUGE-L': 0.14414414414414414, 'BLEU': 0.01375720020833054}"
298,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.28813559322033894, 'ROUGE-2': 0.025641025641025644, 'ROUGE-L': 0.19491525423728814, 'BLEU': 0.011061951541868656}"
299,"{'Descriptiveness': 2.0, 'Coherence': 1.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 2.0, 'Overall_Average': 2.4, 'ROUGE-1': 0.17258883248730963, 'ROUGE-2': 0.07179487179487179, 'ROUGE-L': 0.16243654822335024, 'BLEU': 0.031877924547281215}"
300,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 3.0, 'Conciseness': 4.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.2818791946308725, 'ROUGE-2': 0.14965986394557826, 'ROUGE-L': 0.24161073825503354, 'BLEU': 0.028516012008282784}"
301,"{'Descriptiveness': 1.0, 'Coherence': 2.0, 'Completeness': 1.0, 'Fluency': 2.0, 'Conciseness': 3.0, 'Overall_Average': 1.8, 'ROUGE-1': 0.16744186046511628, 'ROUGE-2': 0.03755868544600939, 'ROUGE-L': 0.13023255813953488, 'BLEU': 0.008648865228929836}"
302,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 2.0, 'Fluency': 3.0, 'Conciseness': 4.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.20224719101123598, 'ROUGE-2': 0.06896551724137932, 'ROUGE-L': 0.20224719101123598, 'BLEU': 0.016651816094033982}"
303,"{'Descriptiveness': 2.0, 'Coherence': 4.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 2.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.3018867924528302, 'ROUGE-2': 0.14012738853503184, 'ROUGE-L': 0.22641509433962265, 'BLEU': 0.05090611431149698}"
304,"{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.8, 'ROUGE-1': 0.17, 'ROUGE-2': 0.0404040404040404, 'ROUGE-L': 0.11999999999999998, 'BLEU': 0.013469446296495945}"
305,"{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 3.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 3.8, 'ROUGE-1': 0.22857142857142854, 'ROUGE-2': 0.0, 'ROUGE-L': 0.1904761904761905, 'BLEU': 0.009171594313163408}"
306,"{'Descriptiveness': 3.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 3.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.25615763546798026, 'ROUGE-2': 0.08955223880597016, 'ROUGE-L': 0.1773399014778325, 'BLEU': 0.02420315068927027}"
307,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 2.0, 'Fluency': 3.0, 'Conciseness': 4.0, 'Overall_Average': 2.2, 'ROUGE-1': 0.2765957446808511, 'ROUGE-2': 0.1075268817204301, 'ROUGE-L': 0.2127659574468085, 'BLEU': 0.03194199700301023}"
308,"{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 5.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 3.8, 'ROUGE-1': 0.2898550724637681, 'ROUGE-2': 0.08955223880597014, 'ROUGE-L': 0.2898550724637681, 'BLEU': 0.01645839092080168}"
309,"{'Descriptiveness': 3.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.2898550724637681, 'ROUGE-2': 0.0, 'ROUGE-L': 0.23188405797101447, 'BLEU': 0.012562888945674535}"
310,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 4.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.11398963730569947, 'ROUGE-2': 0.010471204188481676, 'ROUGE-L': 0.07253886010362694, 'BLEU': 0.006721241493045705}"
311,"{'Descriptiveness': 2.0, 'Coherence': 4.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.2105263157894737, 'ROUGE-2': 0.05357142857142857, 'ROUGE-L': 0.1929824561403509, 'BLEU': 0.007591602166253436}"
312,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 2.6, 'ROUGE-1': 0.12021857923497267, 'ROUGE-2': 0.07734806629834254, 'ROUGE-L': 0.12021857923497267, 'BLEU': 0.026583737584645335}"
313,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 2.4, 'ROUGE-1': 0.16363636363636364, 'ROUGE-2': 0.03669724770642202, 'ROUGE-L': 0.12727272727272726, 'BLEU': 0.01380543831565864}"
314,"{'Descriptiveness': 2.0, 'Coherence': 4.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.2711864406779661, 'ROUGE-2': 0.07017543859649124, 'ROUGE-L': 0.23728813559322037, 'BLEU': 0.047250228184010507}"
315,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.1481481481481481, 'ROUGE-2': 0.0375, 'ROUGE-L': 0.12345679012345678, 'BLEU': 0.008742623539067008}"
316,"{'Descriptiveness': 3.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.3225806451612903, 'ROUGE-2': 0.04395604395604396, 'ROUGE-L': 0.21505376344086022, 'BLEU': 0.009611439154055601}"
317,"{'Descriptiveness': 2.0, 'Coherence': 5.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 4.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.2846975088967971, 'ROUGE-2': 0.0931899641577061, 'ROUGE-L': 0.2206405693950178, 'BLEU': 0.016294555763629582}"
318,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 3.8, 'ROUGE-1': 0.16666666666666669, 'ROUGE-2': 0.024096385542168676, 'ROUGE-L': 0.10714285714285714, 'BLEU': 0.013324649864746322}"
319,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.13999999999999999, 'ROUGE-2': 0.0, 'ROUGE-L': 0.1, 'BLEU': 0.006233383687515976}"
320,"{'Descriptiveness': 2.0, 'Coherence': 4.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.25806451612903225, 'ROUGE-2': 0.10000000000000002, 'ROUGE-L': 0.22580645161290322, 'BLEU': 0.011691085497204767}"
321,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.1306532663316583, 'ROUGE-2': 0.030456852791878174, 'ROUGE-L': 0.11055276381909548, 'BLEU': 0.0077908129006303015}"
322,"{'Descriptiveness': 1.0, 'Coherence': 3.0, 'Completeness': 1.0, 'Fluency': 4.0, 'Conciseness': 2.0, 'Overall_Average': 2.2, 'ROUGE-1': 0.18750000000000003, 'ROUGE-2': 0.03225806451612904, 'ROUGE-L': 0.18750000000000003, 'BLEU': 0.017504465153510333}"
323,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.11695906432748537, 'ROUGE-2': 0.0591715976331361, 'ROUGE-L': 0.08187134502923976, 'BLEU': 0.011198300441115404}"
324,"{'Descriptiveness': 3.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 2.0, 'Conciseness': 2.0, 'Overall_Average': 2.4, 'ROUGE-1': 0.23853211009174316, 'ROUGE-2': 0.07407407407407407, 'ROUGE-L': 0.2018348623853211, 'BLEU': 0.01780243947677537}"
325,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 3.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.11111111111111112, 'ROUGE-2': 0.01020408163265306, 'ROUGE-L': 0.0909090909090909, 'BLEU': 0.006693005099746762}"
326,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.23529411764705885, 'ROUGE-2': 0.07228915662650602, 'ROUGE-L': 0.21176470588235294, 'BLEU': 0.018667554605199106}"
327,"{'Descriptiveness': 3.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 4.0, 'ROUGE-1': 0.11111111111111112, 'ROUGE-2': 0.022727272727272728, 'ROUGE-L': 0.06666666666666667, 'BLEU': 0.006383751047634851}"
328,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.23170731707317072, 'ROUGE-2': 0.07407407407407406, 'ROUGE-L': 0.17073170731707318, 'BLEU': 0.022055957858882945}"
329,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 2.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.14035087719298245, 'ROUGE-2': 0.0, 'ROUGE-L': 0.10526315789473684, 'BLEU': 0.011237137524326235}"
330,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.10309278350515463, 'ROUGE-2': 0.020833333333333336, 'ROUGE-L': 0.09278350515463918, 'BLEU': 0.0064008764343022025}"
331,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 3.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.14166666666666666, 'ROUGE-2': 0.008403361344537815, 'ROUGE-L': 0.1, 'BLEU': 0.003867093710610929}"
332,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.17460317460317462, 'ROUGE-2': 0.03225806451612903, 'ROUGE-L': 0.11111111111111112, 'BLEU': 0.012501747167315894}"
333,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 2.6, 'ROUGE-1': 0.23529411764705885, 'ROUGE-2': 0.059405940594059396, 'ROUGE-L': 0.1568627450980392, 'BLEU': 0.027622416986949342}"
334,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.2142857142857143, 'ROUGE-2': 0.07317073170731707, 'ROUGE-L': 0.1904761904761905, 'BLEU': 0.018306803170363133}"
